image,title,sub_title,price,sale,unit,delivery_type,weigth,shipping_type,origin,allergen,shelf_life,information,sub_product_name_list,sub_product_price_list,product_image,check_point_image,description_title,description_content,description_image
https://img-cf.kurly.com/shop/data/goods/1525428077553y0.jpg,애플망고 500g (냉동),간편하게 먹는 열대 과일의 여왕 (1팩 / 500g),"5,900원",0%,1팩,샛별배송/택배배송,500g,냉동/종이포장,페루산,,,"간혹 상품에서 소독약 냄새가날 수 있으나, 이는 HACCP 시설에서 가공된 냉동 과일에서 필수적으로 진행해야하는 전처리(소독작업)작업 때문입니다. 대량으로 전처리 작업을 진행 후 세척을 거치게 되는데 이때 완전히 소독약이 제거되지 않았을 때 냄새가 날 수 있습니다. 인체에는 무해하며 상온에서 해동시 소독약 냄새는 대부분 날라가는 점 안내드립니다.",[],[],https://img-cf.kurly.com/shop/data/goodsview/20200812/gv10000113268_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20180504/gv00000022736_1.jpg,"간편하게 먹는 열대 과일의 여왕
냉동 애플망고","애플망고는 사과처럼 붉은색을 띠는 망고로 열대 과일의 여왕이라고 일컬어질 정도로 뛰어난 맛과 향을 자랑하죠. 황홀한 식감과 코를 유혹하는 달콤한 향기가 좋아 파인애플, 바나나 등과 함께 많은 사랑을 받는 열대과일인데요. 컬리는 손질할 필요 없이 간편하게 먹을 수 있는 냉동 애플망고를 가져왔어요. 적절한 숙기에 맞춰진 애플망고를 먹기 좋게 자른 뒤, 급속 냉동했어요. 어떤 식품첨가물도 없는 100% 애플망고로 안전하게 먹을 수 있습니다. 해동하여 스무디, 주스, 빙수 등 다양하게 응용하여 즐겨보세요.",https://img-cf.kurly.com/shop/data/goodsview/20180504/gv20000022735_1.jpg
https://img-cf.kurly.com/shop/data/goods/1464776407133y0.jpg,냉동과일 4종,"1년 내내 즐기는 제철 과일 본연의 맛! (아보카도, 와일드블루베리, 믹스베리, 파인애플)","5,900원",0%,,샛별배송/택배배송,,냉동/종이포장,상품별 별도표기,,,"냉동아보카도의 경우 변색방지를 위한 구연산, 비타민c가 소량 포함되어있어 간혹 신맛이 날 수 있지만 정상 제품입니다.","['와일드 블루베리 1kg (냉동)', '파인애플 500g (냉동)', '믹스베리 500g (냉동)', '아보카도 500g (냉동)']","['9,900원', '5,900원', '5,900원', '6,900원']",https://img-cf.kurly.com/shop/data/goodsview/20200724/gv00000109608_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20180305/gv00000018903_1.jpg,"매일매일 알록달록 새콤달콤
냉동과일 4종",맛있는 과일을 매일매일 신선하게 즐긴다면 얼마나 좋을까요? 오늘 소개할 컬리의 냉동과일은 이 고민에 시원한 답을 내려줍니다. 이젠 1년 내내 쉽고 빠르게 상큼한 에너지를 흡수할 수 있어요. 컬리가 고른 냉동과일 4종은 제철 과일이 가장 알맞게 익었을 때 수확해 곧바로 얼린 제품입니다. 풍부한 영양소가 그대로 담겨있지요. 지친 몸과 마음에 활짝 생기를 불어 넣어줄 각양각색 냉동과일! 그 차가운 달콤함에 사르르 녹을 준비됐나요?,https://img-cf.kurly.com/shop/data/goodsview/20180305/gv20000018902_1.jpg
https://img-cf.kurly.com/shop/data/goods/1594116644866y0.jpg,냉동 애플망고 다이스 1kg,"빙수로도, 그냥 먹어도 맛있는 애플망고","5,900원",0%,1봉,샛별배송/택배배송,1kg,냉동/종이포장,페루,,제품별도표기,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200707/gv30000105958_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200710/gv40000106497_1.jpg,"상큼하고 달콤한 열대 과일
냉동 애플망고 다이스","살짝 녹여 그대로 먹어도 좋고, 블렌더에 갈아 시원하게 마셔도 좋은 냉동 과일. 주스, 샐러드, 디저트 등 다양한 메뉴에 활용할 수 있는 만능 재료가 아닐까 싶어요. 새콤달콤한 애플망고를 한 입 크기로 잘라 넉넉하게 담아낸 냉동 제품을 소개합니다. 열대 과일의 여왕다운 그 맛과 향을 더욱 간편하게 즐겨보세요.",https://img-cf.kurly.com/shop/data/goodsview/20200707/gv20000105955_1.jpg
https://img-cf.kurly.com/shop/data/goods/1565058350559y0.jpg,[델루츠] 소포장 냉동과일 3종,간편하게 필요한 만큼 즐기는 소포장 냉동과일(3종),"1,980원",0%,1봉,샛별배송/택배배송,옵션별 상이,냉동/종이포장,제품 별도표기,,제품 별도표기일 까지,최소 구매수량은 3개입니다.,"['[델루츠] 냉동 아보카도 100g', '[델루츠] 냉동 블루베리 150g', '[델루츠] 냉동 애플망고 150g']","['1,980원', '1,980원', '1,980원']",https://img-cf.kurly.com/shop/data/goodsview/20190821/gv00000059850_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20190806/gv20000058599_1.jpg,"간편하게 보관하는 신선한 과일
[델루츠]
소포장 냉동과일 3종","아무리 좋은 과일이라 해도 오래 두거나 잘못 보관하게 되면 품질이 떨어지죠. 컬리는 '항상 맛있게 과일을 먹을 수 없을까?' 고민하시는 분들을 위한 상품을 준비했습니다. 소용량 포장으로 더욱 부담 없이 즐길 수 있는 냉동과일이에요. 깨끗하게 세척한 후 신선한 상태 그대로 냉동해 맛과 영양 그대로를 담고 있지요. 보관이 어렵기로 소문난 아보카도와 블루베리, 애플망고까지 세 가지 냉동과일 중 선택해보세요. 샐러드나 요거트의 토핑은 물론, 다양한 요리에 활용하실 수 있답니다.",https://img-cf.kurly.com/shop/data/goodsview/20190806/gv30000058598_1.jpg
https://img-cf.kurly.com/shop/data/goods/1584349077415y0.jpg,[네니아] 아이스 홍시 (냉동),눈 녹듯 부드러운 청도 홍시,"1,100원",0%,1통,샛별배송 ONLY,60g,냉동/종이포장,,,,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200316/gv00000085807_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200904/gv00000118885_1.jpg,"눈 녹듯 부드러운 청도 홍시
[네니아] 아이스 홍시","달콤하고 부드러워 남녀노소 즐길 수 있는 간식 ‘아이스 홍시’입니다. 자연 그대로의 높은 당도를 품은 아이스 홍시는 달고 부드러운 맛으로 유명한 경상북도 청도 감으로 만들어요. 껍질과 씨를 제거한 후 급속 동결했기에 먹기 편안한데다, 식품첨가물은 일절 배제했기에 아이들과 함께 안심하고 즐길 수 있답니다. 홍시가 서서히 녹을 때 한 스푼 떠먹으면 겉은 차갑고 속은 부드러운 감동의 맛이 펼쳐질 거예요.",https://img-cf.kurly.com/shop/data/goodsview/20200316/gv30000085385_1.jpg
https://img-cf.kurly.com/shop/data/goods/1582698564306y0.jpg,냉동 유기농 딸기 500g,언제든지 더하는 새빨간 과육,"6,980원",0%,1봉,샛별배송/택배배송,500g,냉동/종이포장,이탈리아산,"이 제품은 계란, 우유, 메밀, 땅콩, 대두, 밀, 게, 새우, 고등어, 복숭아, 토마토, 아황산류, 호두, 쇠고기, 닭고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조 시설에서 제조하고 있습니다.",상단 또는 하단 표기일까지,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200226/gv30000082888_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200226/gv20000082884_1.jpg,"언제든지 더하는 새빨간 과육
냉동 유기농 딸기","컬리는 딸기 시즌이 아닌 때에도 즐길 수 있는 유기농 냉동 딸기를 준비했어요. 이탈리아에서 유기농으로 기른 딸기를 세척한 후, 꼭지를 깔끔하게 제거해 냉동했는데요. 덕분에 잘 익은 딸기 특유의 선명한 색감과 새콤달콤한 풍미를 오롯이 즐길 수 있답니다. 무엇보다도 딸기 스무디, 아이스크림 등으로 활용하기에 제격이지요. 케익, 머핀, 팬케이크 등 베이킹에 더하면 눈까지 즐거워질 거예요.",https://img-cf.kurly.com/shop/data/goodsview/20200226/gv00000082883_1.jpg
https://img-cf.kurly.com/shop/data/goods/1587360550702y0.jpg,아이스 홍시 6입,사시사철 누리는 주홍빛 즐거움,"6,900원",0%,1팩,샛별배송/택배배송,6입(개당 100g 내외),냉동/종이포장,국산,,개별컵에 별도표기일 까지,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200420/gv20000091310_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200420/gv10000091301_1.jpg,"사시사철 누리는 주홍빛 즐거움
GAP 아이스 홍시","입 안 가득 부드럽고도 달콤한 행복을 전해줄 GAP 아이스 홍시를 소개할게요. 씨가 없는 감만을 선별해 홍시로 알맞게 숙성했는데요. 잘 익은 홍시의 껍질을 벗겨 차갑게 얼렸습니다. 한 컵에 하나씩 깔끔하게 포장한 것은 물론, 씨와 껍질이 없어 편리하게 드실 수 있지요. 냉동실에 시원하게 두셨다가, 드시기 전 꺼내어 하나씩 녹여 드세요. 얼만큼 녹이냐에 따라 샤베트처럼 사각하게, 젤리처럼 쫀득하게 즐길 수 있어요. 식후 디저트, 우리 아이 간식으로 추천할게요.",https://img-cf.kurly.com/shop/data/goodsview/20200420/gv30000091300_1.jpg
https://img-cf.kurly.com/shop/data/goods/1593568515222y0.jpg,GAP 냉동 산딸기 500g,일년 내내 만나보는 붉은 보석,"8,500원",0%,1팩,샛별배송/택배배송,500g,냉동/종이포장,국산,,,신선식품으로 중량에 3% 내외의 차이가 있을 수 있습니다.,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200701/gv10000104621_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200701/gv40000104620_1.jpg,"일년 내내 만나보는 붉은 보석
GAP 냉동 산딸기","알알이 붉은 빛이 탐스런 산딸기, 오래토록 즐겨보세요. 제철에만 살짝 모습을 비추던 산딸기를 그대로 냉동해 준비했습니다. 청정한 고지대에서 수확한 산딸기는 먹음직스러운 크기에, 단단하고 탱글한 외관을 갖추고 있는데요. 그대로 해동만 해주면 톡톡 씹히는 과육과 새콤달콤함을 고스란히 즐길 수 있답니다. GAP 인증 기준에 맞춰 길러 더욱 안심이니 원하는 때에 꺼내 어여쁜 새콤함을 누려보세요.",https://img-cf.kurly.com/shop/data/goodsview/20200701/gv10000104619_1.jpg
https://img-cf.kurly.com/shop/data/goods/1554183244222y0.jpg,패션후르츠 1kg (냉동),사시사철 톡 터지는 상큼함 (1팩/1kg),"4,900원",0%,1팩,샛별배송/택배배송,1kg,냉동/종이포장,베트남 산,,제조일로 부터 2년,진공의 경우 원물이 흐트러지지 않도록 잡아놓기 위한 가진공 작업으로 진공이 풀려 있어도 문제가 없는 정상품인 점 구매시 참고 부탁드립니다.,[],[],https://img-cf.kurly.com/shop/data/goodsview/20190628/gv10000054641_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20190402/gv40000046427_1.jpg,"사시사철 톡 터지는 상큼함
냉동 패션후르츠","빨간 껍질만 보아서는 어떤 맛일지 상상하기 어려운 패션후르츠. 그 속에는 노랗고 상큼한 과육이 가득 들어차있죠. 스푼으로 과육과 씨앗까지 알뜰하게 긁어 입안에 넣으면 톡톡 터지는 식감이 참 즐거운데요. 컬리는 사시사철 이 맛을 즐기실 수 있도록 냉동 패션후르츠를 준비했습니다. 베트남 현지에서 재배부터 수확까지 엄격하게 관리된 패션후르츠만을 선별했어요. 딱 알맞게 익은 패션후르츠를 냉동하여 맛과 품질을 신선하게 유지했답니다. 냉동실에 보관하다가 하나씩 잘라서 드세요. 탄산수에 넣어 에이드를 만들어도 좋고, 요거트의 토핑으로 활용하기에도 간편합니다.",https://img-cf.kurly.com/shop/data/goodsview/20190402/gv10000046425_1.jpg
https://img-cf.kurly.com/shop/data/goods/1594114439643y0.jpg,냉동 바나나 슬라이스 1kg,바나나의 달콤함을 그대로 머금은 냉동 바나나,"6,500원",0%,1봉,샛별배송/택배배송,1kg,냉동/종이포장,필리핀,,제품 별도 표기,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200707/gv00000105946_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200710/gv00000106496_1.jpg,"시원하고 부드러운 매력
냉동 바나나 슬라이스","살짝 녹여 그대로 먹어도 좋고, 블렌더에 갈아 시원하게 마셔도 좋은 냉동 과일. 주스, 샐러드, 디저트 등 다양한 메뉴에 활용할 수 있는 만능 재료가 아닐까 싶어요. 달콤한 바나나를 한 입 크기로 잘라 넉넉하게 담아낸 냉동 제품을 소개합니다. 부드럽게 스며드는 바나나 본연의 맛을 더욱 간편하게 즐겨보세요.",https://img-cf.kurly.com/shop/data/goodsview/20200707/gv30000105943_1.jpg
